Recursive Calls CPU TIME (ms)  LCS	ISL1	 ISL2
1699	   49	346	2139	  346
3355	   121	1420	2059	  2716
5348	   179	2222	4467	  3102
1520	   11	614	866	  1271
4106	   112	1768	2735	  3141
5088	   148	2076	4343	  2821
1146	   6	483	920	  714
4410	   102	1812	2384	  3853
2225	   22	927	1842	  1311
4188	   80	1740	3470	  2464
2644	   13	536	3552	  536
2707	   22	841	2611	  937
4324	   81	1653	2079	  3906
4283	   118	1765	2421	  3628
574	   1	210	513	  272
2027	   8	424	3262	  424
1377	   6	575	939	  1013
1098	   2	193	1994	  193
2095	   15	741	1962	  873
5500	   167	2387	4193	  3695
3848	   86	1636	3096	  2390
1470	   4	322	1489	  324
1412	   5	309	309	  1865
2362	   26	964	1989	  1336
3907	   51	1288	3761	  1455
4301	   104	1811	3528	  2583
1104	   4	440	595	  952
3928	   49	1311	1487	  3753
4500	   58	1379	1486	  4414
5891	   212	2531	3957	  4469
1847	   9	384	3740	  384
817	   0	148	148	  931
2176	   10	406	406	  3737
3525	   56	1404	3070	  1862
5706	   169	2444	3709	  4442
1468	   9	612	889	  1196
1894	   6	362	362	  2274
323	   0	104	117	  320
335	   2	76	3282	  76
5255	   148	2234	3451	  4038
3742	   60	1492	1927	  3309
4472	   96	1904	3484	  2892
3942	   73	1673	3101	  2516
1110	   4	458	663	  909
4637	   101	1977	3633	  2986
827	   3	360	600	  586
5595	   163	2394	4413	  3577
3591	   25	726	4021	  726
3030	   44	1273	2464	  1840
5130	   146	2200	3948	  3386
771	   3	165	2832	  165
4690	   96	1901	4041	  2550
2206	   19	837	1019	  2033
3568	   51	1332	1633	  3268
669	   2	230	631	  270
4242	   84	1844	3089	  3002
4872	   109	2061	2997	  3945
4315	   74	1692	3804	  2202
2100	   17	879	1368	  1611
4834	   129	2092	3603	  3323
802	   6	148	4189	  148
3006	   38	1192	1582	  2626
3111	   24	848	886	  3110
1384	   10	289	289	  4089
15	   0	2	2	  2276
2550	   32	1053	2167	  1438
2042	   11	565	599	  2013
5166	   125	2219	3974	  3412
3859	   34	948	967	  3850
1476	   8	591	1244	  824
3112	   44	1293	1801	  2606
5245	   146	2250	4042	  3453
3928	   69	1638	2375	  3192
1433	   7	441	488	  1401
2418	   30	1044	1797	  1665
5152	   136	2176	4205	  3125
1702	   15	715	1371	  1045
1409	   5	299	2477	  299
3877	   76	1449	1790	  3545
3228	   21	677	3272	  679
4264	   57	1358	1502	  4135
5829	   208	2521	3907	  4444
4390	   111	1904	3220	  3079
5084	   112	2104	2946	  4242
2547	   26	972	1245	  2286
3573	   38	1112	1210	  3488
4426	   46	1111	1146	  4397
4892	   103	1915	2455	  4353
5102	   111	2057	4407	  2751
2505	   16	549	3434	  549
5150	   154	2147	2951	  4349
4456	   122	1811	2480	  3790
1995	   18	858	1589	  1264
379	   1	72	1288	  72
1551	   10	327	327	  3606
3353	   35	1064	1179	  3241
3847	   41	983	3807	  1022
2628	   28	915	2480	  1062
4977	   125	2137	3802	  3314
