Recursive Calls CPU TIME (ms)  LCS	ISL1	 ISL2
1955	   60	346	2139	  346
3897	   35	1420	2059	  2716
7653	   82	2222	4467	  3102
1647	   10	614	866	  1271
5129	   62	1768	2735	  3141
7283	   64	2076	4343	  2821
1599	   3	483	920	  714
4619	   59	1812	2384	  3853
3137	   10	927	1842	  1311
5971	   41	1740	3470	  2464
2993	   10	536	3552	  536
3687	   21	841	2611	  937
4051	   49	1653	2079	  3906
4687	   60	1765	2421	  3628
793	   1	210	513	  272
2359	   7	424	3262	  424
1709	   5	575	939	  1013
1121	   2	193	1994	  193
2999	   10	741	1962	  873
7523	   88	2387	4193	  3695
5481	   36	1636	3096	  2390
1797	   2	322	1489	  324
617	   6	309	309	  1865
3353	   13	964	1989	  1336
5523	   25	1288	3761	  1455
6149	   53	1811	3528	  2583
1151	   3	440	595	  952
2953	   35	1311	1487	  3753
2957	   42	1379	1486	  4414
7327	   94	2531	3957	  4469
2169	   7	384	3740	  384
295	   2	148	148	  931
811	   21	406	406	  3737
5089	   26	1404	3070	  1862
6913	   87	2444	3709	  4442
1697	   6	612	889	  1196
723	   9	362	362	  2274
231	   0	104	117	  320
421	   1	76	3282	  76
6455	   78	2234	3451	  4038
3739	   36	1492	1927	  3309
6175	   56	1904	3484	  2892
5499	   40	1673	3101	  2516
1255	   4	458	663	  909
6453	   62	1977	3633	  2986
1087	   2	360	600	  586
7795	   81	2394	4413	  3577
4029	   15	726	4021	  726
4331	   24	1273	2464	  1840
7013	   67	2200	3948	  3386
933	   2	165	2832	  165
6719	   53	1901	4041	  2550
1995	   14	837	1019	  2033
3203	   29	1332	1633	  3268
969	   1	230	631	  270
5685	   49	1844	3089	  3002
5717	   76	2061	2997	  3945
6245	   40	1692	3804	  2202
2577	   12	879	1368	  1611
6431	   54	2092	3603	  3323
843	   5	148	4189	  148
3071	   23	1192	1582	  2626
1771	   19	848	886	  3110
577	   34	289	289	  4089
3	   2	2	2	  2276
3651	   15	1053	2167	  1438
1195	   8	565	599	  2013
7027	   66	2219	3974	  3412
1933	   24	948	967	  3850
2069	   5	591	1244	  824
3433	   24	1293	1801	  2606
7207	   71	2250	4042	  3453
4479	   42	1638	2375	  3192
971	   4	441	488	  1401
3245	   15	1044	1797	  1665
7313	   69	2176	4205	  3125
2397	   9	715	1371	  1045
1641	   5	299	2477	  299
3499	   38	1449	1790	  3545
3757	   10	677	3272	  679
2987	   44	1358	1502	  4135
7257	   92	2521	3907	  4444
5895	   56	1904	3220	  3079
5665	   73	2104	2946	  4242
2417	   16	972	1245	  2286
2407	   25	1112	1210	  3488
2289	   41	1111	1146	  4397
4753	   70	1915	2455	  4353
7335	   58	2057	4407	  2751
2961	   12	549	3434	  549
5733	   71	2147	2951	  4349
4765	   59	1811	2480	  3790
2843	   11	858	1589	  1264
421	   1	72	1288	  72
653	   21	327	327	  3606
2341	   24	1064	1179	  3241
4899	   17	983	3807	  1022
3735	   12	915	2480	  1062
6763	   62	2137	3802	  3314
